tags,start_time,end_time
"[{'probability': 0.0, 'name': 'Others'}]",0.0,1.0
"[{'probability': 0.0, 'name': 'Others'}]",0.5,1.5
"[{'probability': 0.0, 'name': 'Others'}]",1.0,2.0
"[{'probability': 0.0, 'name': 'Others'}]",1.5,2.5
"[{'probability': 0.0, 'name': 'Others'}]",2.0,3.0
"[{'probability': 0.0, 'name': 'Others'}]",2.5,3.5
"[{'probability': 0.0, 'name': 'Others'}]",3.0,4.0
"[{'probability': 0.7505522966384888, 'name': 'Footstep'}]",3.5,4.5
"[{'probability': 0.6920695304870605, 'name': 'Footstep'}]",4.0,5.0
"[{'probability': 0.0, 'name': 'Others'}]",4.5,5.5
"[{'probability': 0.0, 'name': 'Others'}]",5.0,6.0
"[{'probability': 0.5307329297065735, 'name': 'Footstep'}]",5.5,6.5
"[{'probability': 0.5160189270973206, 'name': 'Footstep'}]",6.0,7.0
"[{'probability': 0.0, 'name': 'Others'}]",6.5,7.5
"[{'probability': 0.0, 'name': 'Others'}]",7.0,8.0
"[{'probability': 0.0, 'name': 'Others'}]",7.5,8.5
"[{'probability': 0.0, 'name': 'Others'}]",8.0,9.0
"[{'probability': 0.0, 'name': 'Others'}]",8.5,9.5
"[{'probability': 0.4394829273223877, 'name': 'Male_speech'}, {'probability': 0.4882952868938446, 'name': 'Speech'}]",9.0,10.0
"[{'probability': 0.37317562103271484, 'name': 'Male_speech'}, {'probability': 0.38003432750701904, 'name': 'Speech'}]",9.5,10.5
"[{'probability': 0.0, 'name': 'Others'}]",10.0,11.0
"[{'probability': 0.507236123085022, 'name': 'Female_speech'}, {'probability': 0.507236123085022, 'name': 'Speech'}]",10.5,11.5
"[{'probability': 0.0, 'name': 'Others'}]",11.0,12.0
"[{'probability': 0.2272346466779709, 'name': 'Female_speech'}, {'probability': 0.3718121349811554, 'name': 'Speech'}]",11.5,12.5
"[{'probability': 0.0, 'name': 'Others'}]",12.0,13.0
"[{'probability': 0.0, 'name': 'Others'}]",12.5,13.5
"[{'probability': 0.0, 'name': 'Others'}]",13.0,14.0
"[{'probability': 0.0, 'name': 'Others'}]",13.5,14.5
"[{'probability': 0.2253657579421997, 'name': 'Female_speech'}, {'probability': 0.416114866733551, 'name': 'Speech'}]",14.0,15.0
"[{'probability': 0.19613631069660187, 'name': 'Female_speech'}, {'probability': 0.4235886335372925, 'name': 'Speech'}]",14.5,15.5
"[{'probability': 0.0, 'name': 'Others'}]",15.0,16.0
"[{'probability': 0.0, 'name': 'Others'}]",15.5,16.5
"[{'probability': 0.0, 'name': 'Others'}]",16.0,17.0
"[{'probability': 0.0, 'name': 'Others'}]",16.5,17.5
"[{'probability': 0.0, 'name': 'Others'}]",17.0,18.0
"[{'probability': 0.40503770112991333, 'name': 'Female_speech'}, {'probability': 0.4035666882991791, 'name': 'Female_yell'}, {'probability': 0.44356584548950195, 'name': 'Speech'}]",17.5,18.5
"[{'probability': 0.4920351505279541, 'name': 'Female_speech'}, {'probability': 0.4920351505279541, 'name': 'Female_yell'}, {'probability': 0.524806022644043, 'name': 'Speech'}, {'probability': 0.524806022644043, 'name': 'Yell'}]",18.0,19.0
"[{'probability': 0.5323231220245361, 'name': 'Female_speech'}, {'probability': 0.5323231220245361, 'name': 'Female_yell'}, {'probability': 0.5323231220245361, 'name': 'Speech'}, {'probability': 0.5323231220245361, 'name': 'Yell'}]",18.5,19.5
"[{'probability': 0.2968332767486572, 'name': 'Female_speech'}, {'probability': 0.2968332767486572, 'name': 'Female_yell'}]",19.0,20.0
"[{'probability': 0.6249101758003235, 'name': 'Female_speech'}, {'probability': 0.6223820447921753, 'name': 'Female_yell'}, {'probability': 0.6293958425521851, 'name': 'Speech'}, {'probability': 0.6293958425521851, 'name': 'Yell'}]",19.5,20.5
"[{'probability': 0.5712926387786865, 'name': 'Female_speech'}, {'probability': 0.5712926387786865, 'name': 'Female_yell'}, {'probability': 0.5795440673828125, 'name': 'Speech'}, {'probability': 0.5795440673828125, 'name': 'Yell'}]",20.0,21.0
"[{'probability': 0.3996579647064209, 'name': 'Female_speech'}, {'probability': 0.3996579647064209, 'name': 'Female_yell'}, {'probability': 0.47226956486701965, 'name': 'Speech'}, {'probability': 0.47226956486701965, 'name': 'Yell'}]",20.5,21.5
"[{'probability': 0.22496828436851501, 'name': 'Female_speech'}, {'probability': 0.3036293685436249, 'name': 'Speech'}]",21.0,22.0
"[{'probability': 0.41361114382743835, 'name': 'Moan'}]",21.5,22.5
"[{'probability': 0.0, 'name': 'Others'}]",22.0,23.0
