GN_Genre_Lv1	GN_Genre_Lv2	Cochl_Genre_V1	Cochl_Genre_V1.5	Cochl_Genre_V2?
Traditional Pop	Classic Vocal Pop	Pop	Traditional Pop	Classic Pop
Oldies	60's Pop Rock	Pop	Old Pop	Classic Pop-Rock
Oldies	Classic Pop-Rock	Pop	Old Pop	Classic Pop-Rock
Pop	Classic Lite Pop	Pop	Pop	Classic Pop
Rock	Hard Rock	Rock	Rock	Rock
Rock	80's Rock	Rock	Rock	Rock
Pop	Lite Pop	Pop	Pop	Pop
Electronica	Acid House	Electronic	Electronic	House
Soul/R&B	Funk & Soul Jazz	Funk	Funk	Funk
Rock	Acid Rock & Jam Bands	Rock	Rock	Rock
Rock	Soft Rock	Rock	Rock	Soft Rock
Rock	Adult Alternative Rock	Rock	Rock	Alternative Rock
Pop	Adult Alternative Pop	Pop	Pop	Pop
Pop	Adult Contemporary	Pop	Pop	Pop
Global Pop	African Pop	Pop	Pop	Global Pop
World	African Traditional	World	World	World
Latin	Tropical	Latin	Latin	Latin
Indie	Indie Folk, Country & Songwriter	Indie	Indie	Indie
Metal	Alt Metal	Metal	Metal	Metal
Alternative	Alternative Pop	Alternative	Alternative	Alternative Pop
Rap/Hip-Hop	Alternative Hip-Hop	Hip-Hop	Hip-Hop	Alternative Hip-Hop
Rap/Hip-Hop	Conscious Hip-Hop	Hip-Hop	Hip-Hop	Hip-Hop
Rap/Hip-Hop	Alternative Rap	Hip-Hop	Hip-Hop	Alternative Hip-Hop
Alternative	Alternative Rock	Alternative	Alternative	Alternative Rock
Alternative	Garage Rock	Alternative	Alternative	Alternative Rock
New Age	Ambient & Space Music	New-Age	New-Age	Ambient Music
Country	Traditional Country	Country	Country	Traditional Country
Alternative	Glitter, Glam & Art Rock	Alternative	Alternative	Alternative Rock
World	Pacific & Americas Traditional	World	World	World
Jazz	Post-Bop & Avant Garde	Jazz	Jazz	Modern Jazz
Latin	Cumbia & Bachata	Latin	Latin	Latin
World	Eastern European Traditional	World	World	World
Folk	Traditional Folk	Folk	Folk	Traditional Folk
Latin	Banda	Latin	Latin	Latin
Classical	Baroque Era	Classical	Classical	Classical
Rap/Hip-Hop	Bass Music	Hip-Hop	Hip-Hop	Hip-Hop
Jazz	Bebop & Hard Bop	Jazz	Jazz	Jazz
Global Pop	Desi Rhythmic	Pop	Pop	Global Pop
Jazz	Big Band/Swing	Jazz	Jazz	Swing Jazz
Electronica	Breakbeat, D&B & Old Skool	Electronic	Electronic	Drum & Bass
Folk	Bluegrass & Old-Time	Folk	Folk	Bluegrass Folk
Latin	Bossa Nova & Samba	Latin	Latin	Latin
Indie	Brit Pop & Neo-Psychedelic	Indie	Indie	British Pop-Rock
Country	Contemporary Country	Country	Country	Country
World	Central Asian Traditional	World	World	World
Folk	Cajun, Creole & Zydeco	Folk	Folk	Folk
Latin	Caribbean	Latin	Latin	Latin
Classical	Classical Pops	Classical	Classical	Classical
Global Pop	World Fusion	Pop	Pop	Global Pop
Indie	Chamber, Cabaret & Art Pop	Indie	Indie	Indie
Traditional Pop	Show Tunes	Pop	Traditional Pop	Classic Pop
Other	Spoken Word	Narration	Narration	X
World	East Asian Traditional	World	World	World
Latin	Choro & Latin Folk	Latin	Latin	Latin
Traditional Pop	Nostalgia	Pop	Traditional Pop	Classic Pop
Country	Classic Country	Country	Country	Classic Country
Pop	Teen Pop	Pop	Pop	Pop
Traditional Pop	Classic Filmi	Pop	Traditional Pop	Classic Pop
Rock	Country & Folk Rock	Rock	Rock	Country Rock
Indie	Indie Rock	Indie	Indie	Indie
Latin	Salsa & Son Cubano	Latin	Latin	Latin
Latin	Classic Latin Pop	Latin	Latin	Latin
Oldies	Early 60's Pop	Pop	Old Pop	Classic Pop
Punk	Old School Punk	Punk	Punk	Old School Punk
Pop	Classic Pop Vocals	Pop	Pop	Classic Pop
Oldies	Classic R&B & Soul	R&B/Soul	Old R&B	Classic R&B
Rock	Classic Rock	Rock	Rock	Classic Rock
Reggae	Classic Ska & Rock Steady	Reggae	Reggae	Reggae
Soul/R&B	Slow Jams & Smooth Soul	R&B/Soul	R&B	Soul
Classical	Contemporary Era	Classical	Classical	Classical
Classical	Classical Era	Classical	Classical	Classical
Classical	Modern Era	Classical	Classical	Classical
Rap/Hip-Hop	Southern Rap & Trap	Hip-Hop	Hip-Hop	Hip-Hop
Blues	Acoustic Blues	Blues	Blues	Blues
Blues	Electric Blues	Blues	Blues	Blues
Folk	Contemporary Folk	Folk	Folk	Contemporary Folk
Soul/R&B	Gospel	R&B/Soul	R&B	Gospel
Jazz	Contemporary & Smooth Jazz	Jazz	Jazz	Contemporary Jazz
Pop	Contemporary Pop	Pop	Pop	Contemporary Pop
Indie	Modern Indie Pop	Indie	Indie	Contemporary Pop
Dance & House	Contemporary Dance Pop	Dance	Dance	Contemporary Pop
Jazz	Cool Jazz & Modern	Jazz	Jazz	Modern Jazz
Rap/Hip-Hop	Crunk & Dirty South	Hip-Hop	Hip-Hop	Hip-Hop
Dance & House	Classic Dance Club	Dance	Dance	Dance Pop
Dance & House	Dance Pop	Dance	Dance	Dance Pop
Dance & House	Urban Dance Pop	Dance	Dance	Dance Pop
Reggae	Dancehall Reggae	Reggae	Reggae	Reggae
Dance & House	House	Dance	Dance	House
Global Pop	Desi Soft Pop	Pop	Pop	Global Pop
Global Pop	Desi Pop	Pop	Pop	Global Pop
Global Pop	Desi Groove	Pop	Pop	Global Pop
Dance & House	Disco	Dance	Dance	Disco
Oldies	Doo Wop	Pop	Old Pop	Classic Pop
Metal	Doom, Sludge & Stoner Metal	Metal	Metal	Metal
Electronica	Downtempo	Electronic	Electronic	Downtempo
Indie	Classic Indie Pop	Indie	Indie	Classic Pop
Reggae	Dub	Reggae	Reggae	Reggae
Electronica	Dub & Minimal Techno	Electronic	Electronic	Techno
Electronica	Dubstep	Electronic	Electronic	Dubstep
Jazz	Early Jazz	Jazz	Jazz	Classic Jazz
Oldies	Early Rock & Roll	Rock	Old Rock	Classic Rock
Oldies	Early R&B	R&B/Soul	Old R&B	Classic R&B
Rap/Hip-Hop	Gangsta Rap	Hip-Hop	Hip-Hop	Hip-Hop
Traditional Pop	Instrumental Pop	Pop	Traditional Pop	X
Electronica	Electro	Electronic	Electronic	Electronica
Dance & House	Progressive House	Dance	Dance	House
Punk	Punk Pop & Emo Pop	Punk	Punk	Punk
Soul/R&B	Hip-Hop Pop	R&B/Soul	R&B	Hip-Hop
Traditional Pop	Enka & Trot	Trot	Trot	Trot
New Age	Meditative	New-Age	New-Age	New Age
New Age	New Age World Music	New-Age	New-Age	New Age
Dance & House	Euro Dance & Trance Pop	Dance	Dance	Euro Dance
