ID	name	arousal (dynamic)	valence
34154	Peaceful / Healing / Reverent	0	9
34155	Healing	5	5
34156	Quiet / Introspective	1	9
34157	Light / Delicate / Gentle / Tranquil	1	10
34158	Enchanted / Mysterious / Dreamy	0	3
34159	Pastoral / Lyrical / Serene	0	10
34160	Mild	5	5
34161	Lyrical Romantic	0	7
34162	Soft Refined / Mannered	0	8
34163	Sophisticated / Lush / Romantic	3	7
34164	Sentimental	0	4
34165	Gentle Bittersweet	1	6
34166	Lite Groovy / Dreamy / Precious	1	7
34167	Touching / Tender / Sincere	0	6
34168	Sweet Ballad	2	8
34169	Expressive Dramatic Emotion	4	7
34170	Heartfelt Romantic Strength	3	8
34171	Elegant	5	5
34172	Smoky Romantic	3	4
34173	Lyrical Romantic Dramatic Emotion	2	7
34174	Sad	5	5
34175	Agreeable / Friendly / Casual	2	9
34176	Easy-Going / Hopeful / Breezy	2	10
34177	Solemn	5	5
34178	Casual Jaunty / Funky Groove	2	3
34179	Light Soft Soulful	4	6
34180	Lite Glossy Sensual Groove	6	6
34181	Soft Sensual / Intimate	6	4
34182	Deep Dreamy Relaxing Beat	4	4
34183	Dark Deep Cosmic	0	0
34184	Enigmatic / Brooding / Mysterious	1	1
34185	Creepy / Eerie / Ominous	1	0
34186	Somber / Solem / Spiritual	0	1
34187	Wistful / Melancholy / Forlorn	0	2
34188	Lite Melancholy	1	3
34189	Tender Sad / Soulful	1	2
34190	Blue / Depressed / Lonely	2	0
34191	Determined / Bitter / Serious / Jaded	2	1
34192	Gritty / Earthy / Soulful	3	0
34193	Dark Grim Caution / Suspicion	3	3
34194	Arrogant / Attitude / Defiant	9	2
34195	Cool Beats & Loops	2	2
34196	Dark / Cool / Melancholy	1	4
34197	Dark Groovy / Savvy	3	2
34198	Fresh	5	5
34199	Dark Twangy / Strumming	3	1
34200	Energetic Hypnotic Rhythm & Vocal	6	1
34201	Dark Sparkling Lyrical	7	6
34202	Euphoric	5	5
34203	Fiery Passionate Rhythm	7	4
34204	Intimate Nostalgic Bittersweet	2	4
34205	Dark Romantic Lively Rhythm	8	6
34206	Joyful	5	5
34207	Sultry / Swank	2	6
34208	Dark Sprightly / Playful	3	6
34209	Happy	5	5
34210	Cheerful	5	5
34211	Dark Urgent	7	2
34212	Dark Pop	7	3
34213	Dark Intense Pop Determination	8	3
34214	Dark Dramatic / Emotional / Thrilling	6	0
34215	Serious Emotion / Melodrama	4	1
34216	Serious/ Cerebral / Questioning	4	0
34217	Dark / Dreamy / Brooding	7	0
34371	Energetic Emo-Yearning	6	3
34372	Evocative & Intriguing	7	1
34373	Energetic Melancholy	8	1
34374	Dark Alienated / Brooding	8	0
34375	Heavy Loud Emo-Brooding	9	3
34376	Energetic Anxious / Hurt / Frustrated	8	2
34377	Heavy Loud Triumph & Power	10	1
34378	Chaos / Pain	9	0
34379	Aggressive Power	10	0
34380	Driving Dark Groove	10	7
34381	Hard Dark Excitement	10	2
34382	Loud / Wild / Rowdy	10	8
34383	Loud Hard Positive Excitement	10	3
34384	Ramshackle / Rollicking Fun	9	8
34385	Confident / Tough Party	9	7
34386	Loud Celebratory	9	10
34387	Happy Energetic Excitement	10	9
34388	Energetic Dreamy / Bittersweet	6	2
34389	Upbeat Pop Groove	9	9
34390	Bittersweet Pop	4	3
34391	Strumming Happy Groovy / Soulful	6	9
34392	Cheerful / Carefree Pop	4	10
34393	Arousing / Energizing Groove	9	6
34394	Heavy Body Beat	10	6
34395	Dark Hard Beat	9	1
34396	Positive Energetic Abstract Beat	8	4
34397	Euphoric Energy & Power	10	10
34398	Edgy / Sexy	9	4
34399	Positive Loud Strength & Glory	6	8
34400	Idealistic / Stirring	6	7
34401	Strong, Stable & Warm	4	8
34402	Sensitive Meandering / Exploring	4	2
34403	Soulful Jubilant / Joyous Strength	8	8
34404	Triumphant / Rousing	8	7
34405	Light Stirring / Stately	1	8
34406	Focused Energetic Sparkling	7	7
34407	Energetic / Invigorating / Joyous	7	8
34408	Showy / Dramatic / Rousing / Lively	7	10
34409	Lively / Playful / Swingin'	7	9
34410	Energetic Abstract Groove	10	4
34411	Exuberant / Festive	8	9
34412	Jaunty / Lusty Lively Rhythm	8	10
34413	Party / Fun	6	10
34414	Cheerful / Playful / Lighthearted	3	10
34415	Charming / Easy-Going	3	9
34416	Soulful Easy Beat	4	9
34417	Other	5	5
